rabid,label
http://vivo.brown.edu/individual/org-brown-univ-dept70,Africana Studies
http://vivo.brown.edu/individual/org-brown-univ-dept602,Spatial Structures in the Social Sciences
http://vivo.brown.edu/individual/org-brown-univ-dept604,Advanced Materials Research
http://vivo.brown.edu/individual/org-brown-univ-dept6,Applied Mathematics
http://vivo.brown.edu/individual/org-brown-univ-dept29,German Studies
http://vivo.brown.edu/individual/org-brown-univ-dept140,Biomedical Engineering
http://vivo.brown.edu/individual/org-brown-univ-dept254,Global Health Initiative
http://vivo.brown.edu/individual/org-brown-univ-dept362,Nanoscience and Soft Matter
http://vivo.brown.edu/individual/org-brown-univ-dept13,Portuguese and Brazilian Studies
http://vivo.brown.edu/individual/org-brown-univ-dept24,Education
http://vivo.brown.edu/individual/org-brown-univ-dept221,Radiation Oncology
http://vivo.brown.edu/individual/org-brown-univ-dept263,"Health Services, Policy and Practice"
http://vivo.brown.edu/individual/org-brown-univ-dept20,Archaeology and the Ancient World
http://vivo.brown.edu/individual/org-brown-univ-dept266,Brown AIDS Center (CFAR)
http://vivo.brown.edu/individual/org-brown-univ-dept231,Dermatology
http://vivo.brown.edu/individual/org-brown-univ-dept15,Latin American and Caribbean Studies
http://vivo.brown.edu/individual/org-brown-univ-dept42,Modern Culture and Media
http://vivo.brown.edu/individual/org-brown-univ-dept41,Mathematics
http://vivo.brown.edu/individual/org-brown-univ-dept31,Literary Arts
http://vivo.brown.edu/individual/org-brown-univ-dept14,Language Studies
http://vivo.brown.edu/individual/org-brown-univ-dept27,French Studies
http://vivo.brown.edu/individual/org-brown-univ-dept265,Epidemiology
http://vivo.brown.edu/individual/org-brown-univ-dept69,Psychiatry and Human Behavior
http://vivo.brown.edu/individual/org-brown-univ-dept236,Gerontology and Health Care Research
http://vivo.brown.edu/individual/org-brown-univ-dept281,Brown University AIDS Program (BRUNAP)
http://vivo.brown.edu/individual/org-brown-univ-dept67,Pembroke Center
http://vivo.brown.edu/individual/org-brown-univ-dept235,Neurology
http://vivo.brown.edu/individual/org-brown-univ-dept213,Biology and Medicine
http://vivo.brown.edu/individual/org-brown-univ-dept40,Italian Studies
http://vivo.brown.edu/individual/org-brown-univ-dept288,"Cognitive, Linguistic, and Psychological Sciences"
http://vivo.brown.edu/individual/org-brown-univ-dept77,Brain Science
http://vivo.brown.edu/individual/org-brown-univ-dept45,Physics
http://vivo.brown.edu/individual/org-brown-univ-dept5,Anthropology
http://vivo.brown.edu/individual/org-brown-univ-dept230,Family Medicine
http://vivo.brown.edu/individual/org-brown-univ-dept75,Engineering
http://vivo.brown.edu/individual/org-brown-univ-dept748,International and Public Affairs
http://vivo.brown.edu/individual/org-brown-univ-dept85,Orthopaedics
http://vivo.brown.edu/individual/org-brown-univ-dept54,Molecular Microbiology and Immunology
http://vivo.brown.edu/individual/org-brown-univ-dept21,Computer Science
http://vivo.brown.edu/individual/org-brown-univ-dept50,Sociology
http://vivo.brown.edu/individual/org-brown-univ-dept26,English
http://vivo.brown.edu/individual/org-brown-univ-dept17,Race and Ethnicity in America
http://vivo.brown.edu/individual/org-brown-univ-dept482,Slavery and Justice
http://vivo.brown.edu/individual/org-brown-univ-dept37,History of Art and Architecture
http://vivo.brown.edu/individual/org-brown-univ-dept668,Egyptology and Assyriology
http://vivo.brown.edu/individual/org-brown-univ-dept131,Annenberg Institute
http://vivo.brown.edu/individual/org-brown-univ-dept286,Early Cultures
http://vivo.brown.edu/individual/org-brown-univ-dept422,John Nicholas Brown Center
http://vivo.brown.edu/individual/org-brown-univ-dept605,Evidence-Based Medicine
http://vivo.brown.edu/individual/org-brown-univ-dept367,Rhodes Center
http://vivo.brown.edu/individual/org-brown-univ-dept258,Population Health and Clinical Epidemiology
http://vivo.brown.edu/individual/org-brown-univ-dept44,Philosophy
http://vivo.brown.edu/individual/org-brown-univ-dept78,Population Studies & Training Center
http://vivo.brown.edu/individual/org-brown-univ-dept3,American Studies
http://vivo.brown.edu/individual/org-brown-univ-dept669,Slavic Studies
http://vivo.brown.edu/individual/org-brown-univ-dept7,Chemistry
http://vivo.brown.edu/individual/org-brown-univ-dept219,Statistical Sciences
http://vivo.brown.edu/individual/org-brown-univ-dept11,Comparative Literature
http://vivo.brown.edu/individual/org-brown-univ-dept34,Pediatrics
http://vivo.brown.edu/individual/org-brown-univ-dept260,Community Health Promotion
http://vivo.brown.edu/individual/org-brown-univ-dept382,Theatre Arts and Performance Studies
http://vivo.brown.edu/individual/org-brown-univ-dept522,Political Theory
http://vivo.brown.edu/individual/org-brown-univ-dept8,Classics
http://vivo.brown.edu/individual/org-brown-univ-dept582,"Business, Entrepreneurship and Organizations"
http://vivo.brown.edu/individual/org-brown-univ-dept36,Surgery
http://vivo.brown.edu/individual/org-brown-univ-dept270,Children at Risk
http://vivo.brown.edu/individual/org-brown-univ-dept224,Alcohol and Addiction Studies
http://vivo.brown.edu/individual/org-brown-univ-dept55,"Molecular Pharmacology, Physiology and Biotechnology"
http://vivo.brown.edu/individual/org-brown-univ-dept627,Alpert Medical School
http://vivo.brown.edu/individual/org-brown-univ-dept19,Religious Studies
http://vivo.brown.edu/individual/org-brown-univ-dept57,Pathology and Laboratory Medicine
http://vivo.brown.edu/individual/org-brown-univ-dept229,Diagnostic Imaging
http://vivo.brown.edu/individual/org-brown-univ-dept264,Behavioral and Social Sciences
http://vivo.brown.edu/individual/org-brown-univ-dept603,Institute for Computational and Experimental Research in Mathematics
http://vivo.brown.edu/individual/org-brown-univ-dept30,Hispanic Studies
http://vivo.brown.edu/individual/org-brown-univ-dept232,Obstetrics and Gynecology
http://vivo.brown.edu/individual/org-brown-univ-dept56,Neuroscience
http://vivo.brown.edu/individual/org-brown-univ-dept363,Computation and Visualization
http://vivo.brown.edu/individual/org-brown-univ-dept284,Primary Care and Prevention
http://vivo.brown.edu/individual/org-brown-univ-dept280,"Behavioral and Preventative Medicine, Center for"
http://vivo.brown.edu/individual/org-brown-univ-dept261,Environmental Health and Technology
http://vivo.brown.edu/individual/org-brown-univ-dept73,Urban Studies
http://vivo.brown.edu/individual/org-brown-univ-dept52,Visual Art
http://vivo.brown.edu/individual/org-brown-univ-dept139,Molecular and Nanoscale Innovation
http://vivo.brown.edu/individual/org-brown-univ-dept628,School of Engineering
http://vivo.brown.edu/individual/org-brown-univ-dept32,Medieval Studies
http://vivo.brown.edu/individual/org-brown-univ-dept124,Cogut Humanities Center
http://vivo.brown.edu/individual/org-brown-univ-dept71,Emergency Medicine
http://vivo.brown.edu/individual/org-brown-univ-dept606,"Fluid Mechanics, Turbulence and Computation"
http://vivo.brown.edu/individual/org-brown-univ-dept365,Geometric Computing
http://vivo.brown.edu/individual/org-brown-univ-dept22,East Asian Studies
http://vivo.brown.edu/individual/org-brown-univ-dept84,Medicine
http://vivo.brown.edu/individual/org-brown-univ-dept39,History
http://vivo.brown.edu/individual/org-brown-univ-dept145,Haffenreffer Museum
http://vivo.brown.edu/individual/org-brown-univ-dept262,Biostatistics
http://vivo.brown.edu/individual/org-brown-univ-dept136,Computational Molecular Biology
http://vivo.brown.edu/individual/org-brown-univ-dept53,"Molecular Biology, Cell Biology and Biochemistry"
http://vivo.brown.edu/individual/org-brown-univ-dept268,Cancer Signaling
http://vivo.brown.edu/individual/org-brown-univ-dept240,Neurosurgery
http://vivo.brown.edu/individual/org-brown-univ-dept58,Ecology and Evolutionary Biology
http://vivo.brown.edu/individual/org-brown-univ-dept144,John Carter Brown Library
http://vivo.brown.edu/individual/org-brown-univ-dept667,"Earth, Environmental, and Planetary Sciences"
http://vivo.brown.edu/individual/org-brown-univ-dept542,Modern Greek Studies
http://vivo.brown.edu/individual/org-brown-univ-dept62,Judaic Studies
http://vivo.brown.edu/individual/org-brown-univ-dept43,Music
http://vivo.brown.edu/individual/org-brown-univ-dept234,International Health Institute
http://vivo.brown.edu/individual/org-brown-univ-dept148,Swearer Center
http://vivo.brown.edu/individual/org-brown-univ-dept687,Institute at Brown for Environment and Society
http://vivo.brown.edu/individual/org-brown-univ-dept278,Superfund Research
http://vivo.brown.edu/individual/org-brown-univ-dept46,Political Science
http://vivo.brown.edu/individual/org-brown-univ-dept23,Economics
http://vivo.brown.edu/individual/org-brown-univ-dept562,Science and Technology Studies
http://vivo.brown.edu/individual/org-brown-univ-dept250,School of Public Health
http://vivo.brown.edu/individual/org-brown-univ-dept366,Brain and Neural Systems
